,book_name,reader,review_rate,review_title,purchase_status,review_body,review_voting,review_country,review_date
0, Tao Te Ching (Illustrated Journey) ,Creb,5.0,A Book for the Ages,1,"          This book, translated by Stephen Mitchell, is a work of art.  Some Chinese scholars have criticized Mitchell's translation as not being ""true"" to the original Chinese text.  However, for the lay reader, this criticism misses the mark.  First, any ancient work relies on manuscripts that were written well after the original texts and during this gap the original text(s) were undoubtedly edited or suffered transcription errors.  This is as true of the Tao Te Ching as it is for the Gospels.  Secondly, the original manuscripts very likely relied on an oral history which is forever beyond our reach.  In this sense, the Tau Te Ching might be compared to ""Q"" in the Gospels.  Thirdly, and this applies to all ancient books of wisdom, it is not possible for a person of the twenty-first century to place themselves in 5th century BCE China (or first century Palestine for that matter).  There are just too many fundamental differences, including but not limited to language, science and technology, life span, economics, customs, values, and social organization.  We experience the world in a particular context and our cultural lenses limit our capacity to perceive the world the way others who lived in a vastly different culture did.  So, from my perspective, it is as futile to seek the original and ""true"" meaning of the Tao Te Ching as t is try to understand what it is like to be a bat (Thomas Nagle).  Mitchell is sensitive to the mountain of challenges in translating this ancient text and candid regarding the methods and texts he relied on.  Among all of these methods he shares it was his fourteen years of intensive Zen (Ch'an) training, which ""...brought me face to face with Lau Tzu and his true deciples and heirs, the early Chinese Zen Masters"".  He never tried to merely translate Lau Tzu's words but rather to translate his ""mind"".  In the end, each reader will have to decide for themselves the value that this book holds for them.  There are many translations to chose from and it is prudent to read others as well.  For me, this translation is a masterpiece, a book that I treasure, and one that I will read again and again...Finally, I want to comment on this particular publication of the Tao Te Ching.  This hard bound, illustrated volume was published in 1999 by France's Lincoln Ltd.  The most complementary thing I can say is that the publisher produced a book that is worthy of the text.  The illustrations, compiled by Stephen Little, beautifully compliment the text and provide an ambiance for contemplation.  I almost never purchase a physical book and rely on my tablet for virtually all of my reading.  But not this time.  This is a book to hold in your hands and savor.  ",37,United States ,2019-09-14
1, Tao Te Ching (Illustrated Journey) ,SLC Resident,2.0,pop-culture translation,1,"          I bought this short volume hoping to learn humbly from its ancient wisdom.  However, I learned as I read it that the words in this translation have been modified from the author's original ideas to fit what the translator apparently feels are modern popular sensitivities.  I could tolerate some of that, but when I read the line in the 46th chapter ""the factories make trucks and tractors,"" I realized that this translator was making no attempt to be faithful to the original ideas, but was using his own modern terminology to appeal to pop audiences, as clearly trucks and tractors were not made in factories over two thousand years ago.  As a reader, I feel that it is disingenuous of a translator to portray himself simply as a translator and not a commentator or interpreter if he changes the author's writings to meet what the commentator considers politically correct today and to try to appeal to modern audiences by actually changing references and words to words that the original author would never have understood.  If this doesn't bother you and you simply want a vague understanding of what Lao Tzu wanted to convey, then this book should suffice.  If, however, you seek a true translation of what this great teacher taught, I suggest that you look elsewhere for a more accurate translation.  ",10,United States ,2021-06-28
2, Tao Te Ching (Illustrated Journey) ,Fiona Webster,5.0,my favorite rendition of the Tao! and it's not sexist; plus GORGEOUSLY illustrated,1,"          I might quibble with a few of Michell's renditions of the Tao te Ching, but I won't, because his poetry is so exquisite, this is niw my favorite version. It makes no difference that he crafted this version not by translating directly from the Chinese, but by comparing many different sources in European languages. I especially like it that it's not sexist: since Chinese makes no difference between ""he"" and ""she"" or ""his"" and ""her,"" and since the Chinese word for ""Master"" can refer to a person of either sex, Mitchell has wisely chosen to render half the verses that refer to the Master with female pronouns. And the paintings used for the illustrations are so varied and gorgeous and beautifully reproduced, they really add to the impact of the words!  ",11,United States ,2019-02-22
3, Tao Te Ching (Illustrated Journey) ,Seijinvet,5.0,Beautiful Rendering,1,"          I am a theologian, amongst other things, and recently have been pursuing a personal interest in looking for common denominators in the major world religions. Taoism is one, and I wanted this book as a source a bit more aesthetically pleasing than a PDF copied and printed from the internet.  Now some other Christian theologians would have kittens for someone even examining such things, but this book, as a work of art, is beautiful, and a welcome addition to my library.  ",6,United States ,2021-01-08
4, Tao Te Ching (Illustrated Journey) ,Amazon Customer,5.0,The most powerful book I have seen.,1,"          I have read this through many times and will keep on reading it.  This wisdom is so powerful that it truly changes the way you look at the world.  Before reading this book I didn't know what wisdom was.  It seems that wisdom is stepping back and seeing through the eyes of compassion.  Seeing like an infant that doesn't even know what vision is.  The Tao Te Ching is filled with paradoxical truths.  Prepare for your ego to be vanquished and you true self released.This version by Stephen Mitchell is my favorite.  He didn't try to translate the words but instead the wisdom.  English and Chinese just aren't very compatible.  I will trade accuracy for readability any day, especially when I am giving this book away to people all the time.  The hardcover and the presentation are beautiful making it an excellent gift.  People give me a lot of feedback when I give this to them, they aren't just putting in on the shelf.  When they quote it I know it is making a difference in their lives.  Having access to Lou Tzu's wisdom is kind of like being in a club that is special because you become immune to the endless attempts by the mind to deceive you.  ",29,United States ,2015-05-09
5, Tao Te Ching (Illustrated Journey) ,Amazon Customer,1.0,Not the Stephen Mithce,1,"          The author is not listed on the listing, but several of the reviews mentioned that it was a the Stephen Mitchell translation.  That’s why I bought it. But it’s not the Stephen Mitchell translation. It’s translated by a guy named James Legge!  This is some kind of Taoist bait and switch.  I did not get the book I wanted.  ",4,United States ,2020-04-05
6, Tao Te Ching (Illustrated Journey) ,Mike,5.0,A top version of the Tao Teh Ching,1,"          Very carefully made book, translations and interpretations are not very literal/word-for-word, but this is neither good nor bad, it is both. John C. Wu, I feel has a more accurate and literal translation that is typically more thorough. However, Mitchell seems to be quite familiar with Eastern thought as a whole, not just in Taoism, but also Zen Buddhism. Therefore, in some way this may add or take away from the Tao Teh Ching. Some of his interpretations are quite simple and beautiful. However, when I compare some passages to Wu's version, he seems to have left out a lot of content. It is unclear, however, if Wu even has the ""correct"" or ""original"" version of the Tao Teh Ching to translate in the first place. It is my understanding that there many different versions and interpretations of this book even among Buddhists in Asia. The extra you get with this book is the Asian art and it feels larger and richer than other books I've browsed.  ",6,United States ,2014-12-07
7, Tao Te Ching (Illustrated Journey) ,Razzmatazz,5.0,Beautiful inside and out,1,"          This is the first translation of the Tao Te Ching I have read and I thoroughly enjoyed it. I was drawn to this edition, because I saw so much praise for Stephen Mitchell's translation (despite the liberties he apparently took with it) and I figured it couldn't hurt to have beautiful artwork alongside my wisdom. Even though it seems likely that this translation should not be taken too seriously as a historical representation of the text, it flows quite well and provides a calming spiritual message.As for the Frances Lincoln illustrated edition, it really is a beautiful book with a beautiful handscroll cover and backing that goes along with all of the artwork inside. This book is somewhat large for casual reading and the pages are glossy--if that would affect anyone's decision to buy this version.  ",1,United States ,2015-12-19
8, Tao Te Ching (Illustrated Journey) ,Jim Foley,4.0,A beautiful and reader-friendly translation,1,"          Each of the many translations of this Taoist classic has its own slightly-different spirit and meaning.  If you're new to the Tao Te Ching, this is a good version to read, and you'll probably feel it was time well spent.  The original text contains many mystical, paradoxical statements which pose certain translation challenges, as well as some passages that were intended as advice for powerful rulers that seems cynical, not spiritual.  For instance, the first thing the text tells us that the Way that can be told is not the Way, which can sound ridiculous if badly expressed.  And we're told that rulers should do as little as possible to avoid conflict, and should keep their subjects' brains empty and their stomachs full to prevent them from rebelling.  This version works harder than some others to make the whole thing seem understandable, beautiful, and spiritual, and it largely succeeds.  I don't read Chinese and am not a scholar, so I don't know which translation is most accurate.  This one is pleasant and has beautiful pictures.  I use it sometimes in the morning as part of preparing for the day.  ",1,United States ,2015-02-02
9, Tao Te Ching (Illustrated Journey) ,david ready,3.0,Certainly not the best of interpretations/translations available,1,"          Certainly not the best of interpretations/translations available.  My objection is with the author's choice of ""illustrations"".  I am unable to understand why he would use trite European art to embellish the text.  They add nothing to the book, have no bearing to the translation/interpretation.It is nice to have Amazon's Kindle.  ",8,United States ,2017-09-06
