,毕业去向,就业去向,就业状态,就业类型描述,单位注册地区,单位性质,薪酬范围
0,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
1,出国、出境,出国（境）,1,出国出境深造,英国,未就业,0
2,出国、出境,出国（境）,1,出国出境深造,澳大利亚,未就业,0
3,出国、出境,出国（境）,1,出国出境深造,荷兰,未就业,0
4,出国、出境,出国（境）,1,出国出境深造,英国,未就业,0
5,出国、出境,出国（境）,1,出国出境深造,英国,未就业,0
6,出国、出境,出国（境）,1,出国出境深造,澳大利亚,未就业,0
7,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
8,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
9,出国、出境,出国（境）,1,出国出境深造,白俄罗斯,未就业,0
10,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
11,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
12,出国、出境,出国（境）,1,出国出境深造,加拿大,未就业,0
13,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
14,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
15,出国、出境,出国（境）,1,出国出境深造,俄罗斯,未就业,0
16,出国、出境,出国（境）,1,出国出境深造,英国,未就业,0
17,出国、出境,出国（境）,1,出国出境深造,美国,未就业,0
18,升学,升学,1,升学,新疆石河子市,高等教育单位,0
19,升学,升学,1,升学,新疆伊犁哈萨克自治州,高等教育单位,0
20,签就业协议形式就业,国有企业就业,1,协议就业,新疆乌鲁木齐市天山区,国有企业,5000-5499
21,升学,升学,1,升学,宁夏银川市,高等教育单位,0
22,升学,升学,1,升学,青海省西宁市,高等教育单位,0
23,升学,升学,1,升学,甘肃省兰州市,高等教育单位,0
24,签劳动合同形式就业,单位就业,1,劳动合同就业,陕西省大荔县,其他企业,3000-3499
25,自主创业,自主创业,1,自主创业,陕西省咸阳市秦都区,未就业,0
26,其他录用形式就业,其他形式就业,1,其他录用形式就业,陕西省西安市鄠邑区,其他企业,3000-3499
27,其他录用形式就业,其他形式就业,1,其他录用形式就业,陕西省西安市临潼区,其他企业,2500-2999
28,签就业协议形式就业,非国有企业就业,1,协议就业,陕西省西安市雁塔区,其他企业,3000-3499
29,升学,升学,1,升学,陕西省西安市,高等教育单位,0
30,升学,升学,1,升学,陕西省西安市,高等教育单位,0
31,升学,升学,1,升学,贵州省贵阳市,高等教育单位,0
32,升学,升学,1,升学,四川省南充市,高等教育单位,0
33,签就业协议形式就业,非国有企业就业,1,协议就业,重庆市南岸区,其他企业,3000-3499
34,签就业协议形式就业,非国有企业就业,1,协议就业,重庆市江北区,其他企业,5000-5499
35,升学,升学,1,升学,重庆市,高等教育单位,0
36,自主创业,自主创业,1,自主创业,海南省海口市龙华区,未就业,0
37,升学,升学,1,升学,广西桂林市,高等教育单位,0
38,升学,升学,1,升学,广西桂林市,高等教育单位,0
39,其他录用形式就业,其他形式就业,1,其他录用形式就业,广东省东莞市,其他企业,4000-4499
40,升学,升学,1,升学,广东省广州市,高等教育单位,0
41,升学,升学,1,升学,湖北省武汉市,高等教育单位,0
42,升学,升学,1,升学,湖北省武汉市,高等教育单位,0
43,升学,升学,1,升学,湖北省武汉市,高等教育单位,0
44,升学,升学,1,升学,湖北省武汉市,高等教育单位,0
45,升学,升学,1,升学,湖北省武汉市,高等教育单位,0
46,签劳动合同形式就业,单位就业,1,劳动合同就业,河南省灵宝市,其他企业,3500-3999
47,升学,升学,1,升学,河南省新乡市,高等教育单位,0
48,升学,升学,1,升学,河南省新乡市,高等教育单位,0
49,自由职业,灵活就业等其他自主就业,1,自由职业,河南省安阳市北关区,未就业,0
50,签就业协议形式就业,非国有企业就业,1,协议就业,河南省巩义市,其他企业,2000-2499
51,签就业协议形式就业,非国有企业就业,1,协议就业,河南省郑州市管城回族区,其他企业,2500-2999
52,升学,升学,1,升学,河南省郑州市,高等教育单位,0
53,升学,升学,1,升学,河南省郑州市,高等教育单位,0
54,其他录用形式就业,其他形式就业,1,其他录用形式就业,山东省菏泽市高新技术开发区,其他企业,2500-2999
55,其他录用形式就业,其他形式就业,1,其他录用形式就业,山东省东明县,其他企业,3500-3999
56,签劳动合同形式就业,单位就业,1,劳动合同就业,山东省郓城县,其他企业,2000-2499
57,签就业协议形式就业,其他形式就业,1,协议就业,山东省成武县,未就业,5000-5499
