id,充电站名称,地址,省,市,区,纬度,经度
1,特来电充电站(森迪大道),重庆市九龙坡区西彭镇森迪大道随缘石化加油站内,重庆市,重庆市,九龙坡区,29.329217,106.317934
2,特来电充电站(西部新城),重庆市沙坪坝区虎溪街道盛德路1号大学城西部客运站,重庆市,重庆市,沙坪坝区,29.620435,106.329908
3,国家电网充电站(重庆市九龙坡区巴福镇赵大路),重庆市九龙坡区巴福镇赵大路九龙园C区,重庆市,重庆市,九龙坡区,29.409713,106.353097
4,国家电网充电站(井熙路),重庆市沙坪坝区井口街道井熙路8号附3号,重庆市,重庆市,沙坪坝区,29.65539,106.452904
5,万马爱充充电站(中豪公园),重庆市大渡口区双城路163号兄弟装饰旁,重庆市,重庆市,大渡口区,29.49699,106.471445
6,普科特汽车充电站(临江装饰城站),重庆市沙坪坝区石小路100号,重庆市,重庆市,沙坪坝区,29.548297,106.472255
7,万马充电站(中交丽景),重庆市大渡口区双龙路2号附105号,重庆市,重庆市,大渡口区,29.499797,106.478276
8,万马新能源智能充电站(爱与山),重庆市大渡口区双山路131号(爱与山旁露天停车场),重庆市,重庆市,大渡口区,29.493807,106.478783
9,国家电网充电站,重庆市渝北区大竹林街道斑竹路19号,重庆市,重庆市,渝北区,29.628516,106.48107
10,重庆时光城充电站,重庆市渝北区松石大道317号,重庆市,重庆市,渝北区,29.58589,106.498564
11,特来电充电站(石桥广场),重庆市九龙坡区华轩路15号石桥广场内,重庆市,重庆市,九龙坡区,29.542071,106.498714
12,电多多奥体充电站,重庆市九龙坡区好韵高尔夫(奥体中心地铁站2号口步行320米),重庆市,重庆市,九龙坡区,29.532051,106.508208
13,国网重庆奥体快速充电站,重庆市九龙坡区袁家岗体育中心奥韵路6号,重庆市,重庆市,九龙坡区,29.529365,106.510226
14,重庆龙华集团新能源汽车充电站,重庆市渝中区经纬大道777号5-1,重庆市,重庆市,渝中区,29.5524,106.510614
15,万马爱充充电站(石坪桥),重庆市九龙坡区石坪桥横街2号附1号,重庆市,重庆市,九龙坡区,29.525469,106.511813
16,特来电充电站(驰骋体育公园),重庆市九龙坡区奥体路7号,重庆市,重庆市,九龙坡区,29.533104,106.514469
17,特来电充电站(万友奥体),重庆市九龙坡区袁家岗奥体五支路奥体车市A区,重庆市,重庆市,九龙坡区,29.530606,106.516313
18,国家电网充电站(重庆市渝中区重庆天地站),重庆市渝中区化龙桥瑞天路128号重庆天地(商业区),重庆市,重庆市,渝中区,29.558884,106.516663
19,特来电充电站(嘉鸿大道),重庆市江北区嘉鸿大道万科天空之城售房部停车场内,重庆市,重庆市,江北区,29.575285,106.524939
20,云杉智慧充电站(重庆嘉华大桥充电站),重庆市渝中区华村立交企业天地东侧约70米,重庆市,重庆市,渝中区,29.555419,106.525181
21,国家电网充电站(水土营业所站),重庆市北碚区水土营业所充电站,重庆市,重庆市,北碚区,29.826904,106.530266
22,国家电网充电站(君安小区),重庆市九龙坡区直港大道15号君安小区杨家坪,重庆市,重庆市,九龙坡区,29.514852,106.531753
23,特来电充电站(凯旋国际),重庆市渝北区佳园路2号康田凯旋国际,重庆市,重庆市,渝北区,29.606745,106.532394
24,特来电充电站(两江机器人展厅),重庆市北碚区方正大道重庆两江云顶大酒店北侧约250米,重庆市,重庆市,北碚区,29.811807,106.536466
25,宝马汽车充电站(九滨路),重庆市九龙坡区九滨路1号,重庆市,重庆市,九龙坡区,29.517487,106.536935
26,蔚来目的地充电站(重庆大融城),观音桥步行街8号大融城B2,重庆市,重庆市,江北区,29.580872,106.539516
27,万马爱充充电站(力帆体育城),重庆市江北区洋河北路力帆体育城露天停车场,重庆市,重庆市,江北区,29.591876,106.541695
28,特斯拉充电站(重庆国际汽车城站),重庆市渝北区悦来大道66号,重庆市,重庆市,渝北区,29.724714,106.54868
29,电动汽车充电站,重庆市巴南区鸡天路与龙兰街交叉路口往西南约170米,重庆市,重庆市,巴南区,29.384314,106.549088
30,源硕新能源汽车充电站,重庆市巴南区渝南大道162号,重庆市,重庆市,巴南区,29.429835,106.552088
31,长安汽车充电站,重庆市江北区建新东路260号,重庆市,重庆市,江北区,29.579571,106.555432
32,国家电网充电站(江北建新东路茶园),重庆市江北区建国村建新东路9号,重庆市,重庆市,江北区,29.580806,106.557386
33,智道充电五红路充电站,重庆市江北区五红路36附11~12号,重庆市,重庆市,江北区,29.591851,106.559014
34,万马爱充充电站(长安加气站),重庆市渝北区吉安路12号,重庆市,重庆市,渝北区,29.592568,106.559212
35,特来电充电站(南岸英华天元车库),重庆市南岸区苏家坝江苑路8号,重庆市,重庆市,南岸区,29.541778,106.559616
36,中交信达谦和新能源保时通充电站,重庆市渝北区保时通物流园附近(金童路东150米),重庆市,重庆市,渝北区,29.629237,106.559721
37,特来电充电站(重庆市园博园),重庆市渝北区龙景路1号,重庆市,重庆市,渝北区,29.693943,106.560524
38,南岸白鹤园电动客车充电站,四公里南湖支路骏逸江南小区南面,重庆市,重庆市,南岸区,29.517748,106.57184
39,特来电充电站(金山车库),重庆市渝北区加工区2号,重庆市,重庆市,渝北区,29.634118,106.572363
40,电动汽车充电站(七星岗站),重庆市渝中区中山一路半岛铂寓,重庆市,重庆市,渝中区,29.562801,106.573843
41,国网广汇思达充电站(斯柯达),重庆市渝北区金渝大道84号,重庆市,重庆市,渝北区,29.646045,106.576748
42,国网广汇博众充电站(大众),重庆市渝北区经济技术开发区经开园金渝大道99-9号,重庆市,重庆市,渝北区,29.644907,106.579019
43,星星充电南岸四公里充电站,重庆市南岸区江南大道39号,重庆市,重庆市,南岸区,29.529543,106.579291
44,国网广汇骊业充电站,重庆市渝北区金渝大道99号附3号,重庆市,重庆市,渝北区,29.649582,106.581408
